Epoch [1/2], Step: [103/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [104/781], Avg time for each step 0.0452s
Epoch [1/2], Step: [105/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [106/781], Avg time for each step 0.0480s
Epoch [1/2], Step: [107/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [108/781], Avg time for each step 0.0430s
Epoch [1/2], Step: [109/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [110/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [111/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [112/781], Avg time for each step 0.0400s
Epoch [1/2], Step: [113/781], Avg time for each step 0.0490s
Epoch [1/2], Step: [114/781], Avg time for each step 0.0400s
Epoch [1/2], Step: [115/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [116/781], Avg time for each step 0.0487s
Epoch [1/2], Step: [117/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [118/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [119/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [120/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [121/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [122/781], Avg time for each step 0.0430s
Epoch [1/2], Step: [123/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [124/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [125/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [126/781], Avg time for each step 0.0380s
Epoch [1/2], Step: [127/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [128/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [129/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [130/781], Avg time for each step 0.0440s
Epoch [1/2], Step: [131/781], Avg time for each step 0.0430s
Epoch [1/2], Step: [132/781], Avg time for each step 0.0440s
Epoch [1/2], Step: [133/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [134/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [135/781], Avg time for each step 0.0370s
Epoch [1/2], Step: [136/781], Avg time for each step 0.0520s
Epoch [1/2], Step: [137/781], Avg time for each step 0.0400s
Epoch [1/2], Step: [138/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [139/781], Avg time for each step 0.0480s
Epoch [1/2], Step: [140/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [141/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [142/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [143/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [144/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [145/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [146/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [147/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [148/781], Avg time for each step 0.0480s
Epoch [1/2], Step: [149/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [150/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [151/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [152/781], Avg time for each step 0.0440s
Epoch [1/2], Step: [153/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [154/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [155/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [156/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [157/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [158/781], Avg time for each step 0.0380s
Epoch [1/2], Step: [159/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [160/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [161/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [162/781], Avg time for each step 0.0430s
Epoch [1/2], Step: [163/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [164/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [165/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [166/781], Avg time for each step 0.0473s
Epoch [1/2], Step: [167/781], Avg time for each step 0.0397s
Epoch [1/2], Step: [168/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [169/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [170/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [171/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [172/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [173/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [174/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [175/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [176/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [177/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [178/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [179/781], Avg time for each step 0.0430s
Epoch [1/2], Step: [180/781], Avg time for each step 0.0430s
Epoch [1/2], Step: [181/781], Avg time for each step 0.0490s
Epoch [1/2], Step: [182/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [183/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [184/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [185/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [186/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [187/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [188/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [189/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [190/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [191/781], Avg time for each step 0.0440s
Epoch [1/2], Step: [192/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [193/781], Avg time for each step 0.0407s
Epoch [1/2], Step: [194/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [195/781], Avg time for each step 0.0430s
Epoch [1/2], Step: [196/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [197/781], Avg time for each step 0.0440s
Epoch [1/2], Step: [198/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [199/781], Avg time for each step 0.0520s
Epoch [1/2], Step: [200/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [201/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [202/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [203/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [204/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [205/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [206/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [207/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [208/781], Avg time for each step 0.0497s
Epoch [1/2], Step: [209/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [210/781], Avg time for each step 0.0451s
Epoch [1/2], Step: [211/781], Avg time for each step 0.0410s
Epoch [1/2], Step: [212/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [213/781], Avg time for each step 0.0400s
Epoch [1/2], Step: [214/781], Avg time for each step 0.0430s
Epoch [1/2], Step: [215/781], Avg time for each step 0.0520s
Epoch [1/2], Step: [216/781], Avg time for each step 0.0380s
Epoch [1/2], Step: [217/781], Avg time for each step 0.0430s
Epoch [1/2], Step: [218/781], Avg time for each step 0.0440s
Epoch [1/2], Step: [219/781], Avg time for each step 0.0470s
Epoch [1/2], Step: [220/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [221/781], Avg time for each step 0.0440s
Epoch [1/2], Step: [222/781], Avg time for each step 0.0480s
Epoch [1/2], Step: [223/781], Avg time for each step 0.0390s
Epoch [1/2], Step: [224/781], Avg time for each step 0.0420s
Epoch [1/2], Step: [225/781], Avg time for each step 0.0440s
Epoch [1/2], Step: [226/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [227/781], Avg time for each step 0.0402s
Epoch [1/2], Step: [228/781], Avg time for each step 0.0450s
Epoch [1/2], Step: [229/781], Avg time for each step 0.0422s
Epoch [1/2], Step: [230/781], Avg time for each step 0.0460s
Epoch [1/2], Step: [231/781], Avg time for each step 0.0500s
